rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,text
rec-1496-org,mitchell,green,7,wallaby place,delmar,cleveland,2119,sa,19560409,1804974,mitchell green wallaby place delmar cleveland 2119 sa 19560409
rec-552-dup-3,harley,mccarthy,177,pridhamstreet,milton,marsden,3165,nsw,19080419,6089216,harley mccarthy pridhamstreet milton marsden 3165 nsw 19080419
rec-988-dup-1,madeline,mason,54,hoseason street,lakefront retrmnt vlge,granville,4881,nsw,19081128,2185997,madeline mason hoseason street lakefront retrmnt vlge granville 4881 nsw 19081128
rec-1716-dup-1,isabelle,,23,gundulu place,currin ga,utakarra,2193,wa,19921119,4314184,isabelle  gundulu place currin ga utakarra 2193 wa 19921119
rec-1213-org,taylor,hathaway,7,yuranigh court,brentwood vlge,,4220,nsw,19991207,9144092,taylor hathaway yuranigh court brentwood vlge  4220 nsw 19991207
rec-193-org,toby,webb,6,kent street,kersey' south,towradgi,3107,nsw,19940503,1232838,toby webb kent street kersey' south towradgi 3107 nsw 19940503
rec-264-dup-0,harry,stubs,,mountain creek road,,eaton,7310,vic,19721113,8317467,harry stubs mountain creek road  eaton 7310 vic 19721113
rec-1695-dup-3,lydia,mccattmhy,32,mckillop ecircuit,telemon orchards,corio,4670,nsw,19751220,1835068,lydia mccattmhy mckillop ecircuit telemon orchards corio 4670 nsw 19751220
rec-875-dup-0,hollie,lillie-hinrichs,27,hemmings crescent,kilvintonvillage,banyo,4030,,19251130,4920253,hollie lillie-hinrichs hemmings crescent kilvintonvillage banyo 4030  19251130
rec-1778-dup-1,dylan,zilm,17,blameycrescent,condinup,wattle glen,4211,vic,19671229,4892623,dylan zilm blameycrescent condinup wattle glen 4211 vic 19671229
rec-1696-dup-1,,donaldson,14,manity court,pacific terraces,charmhaven,3101,vic,19940825,9817986, donaldson manity court pacific terraces charmhaven 3101 vic 19940825
rec-382-dup-0,isabella,vincent,16,wilshiredstreet,erinsavle,rose ay,6207,vic,19760517,8693348,isabella vincent wilshiredstreet erinsavle rose ay 6207 vic 19760517
